Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
1-к. квартира,36,2,14,Ладожская ,31,nan,Агентство,22000,nan
Квартира-студия,28,15,19,Комендантский проспект ,31,nan,Агентство,25000,nan
1-к. квартира,38,3,14,Беговая ,21–30,nan,Агентство,20000,nan
2-к. квартира,42,3,5,Площадь Мужества ,31,nan,Агентство,30000,nan
1-к. квартира,37,15,36,Обухово ,21–30,nan,Агентство,28000,nan
1-к. квартира,35,1,5,Московская ,6–10,nan,Агентство,28000,nan
2-к. квартира,66,3,5,Приморская ,16–20,nan,Агентство,60000,nan
2-к. квартира,63.5,3,8,Проспект Просвещения ,5,nan,Агентство,35000,nan
3-к. квартира,65,6,9,Рыбацкое ,11–15,nan,Агентство,39000,nan
1-к. квартира,32.5,7,9,nan,nan,пос. Шушары,Агентство,17000,nan
Квартира-студия,29,19,25,Рыбацкое ,31,nan,Агентство,20000,nan
1-к. квартира,34.8,6,14,Фрунзенская ,11–15,nan,Агентство,35000,nan
1-к. квартира,30,5,5,Площадь Мужества ,6–10,nan,Агентство,20000,nan
1-к. квартира,40,2,6,Парк Победы ,11–15,nan,Агентство,30000,nan
3-к. квартира,92,7,9,Звёздная ,21–30,nan,Агентство,65000,nan
2-к. квартира,45,7,16,Беговая ,21–30,nan,Агентство,36500,nan
1-к. квартира,31,3,9,Проспект Ветеранов ,31,nan,Агентство,20000,nan
Квартира-студия,27,4,7,Московская ,6–10,nan,Агентство,35000,nan
4-к. квартира,102,4,5,Петроградская ,11–15,nan,Агентство,90000,nan
2-к. квартира,42,1,2,nan,nan,пос. Песочный,Агентство,13000,nan
1-к. квартира,32,4,25,nan,nan,р-н Приморский,Агентство,25000,nan
Квартира-студия,24.1,3,5,nan,nan,р-н Московский,Агентство,20000,nan
2-к. квартира,46,6,9,Проспект Ветеранов ,6–10,nan,Агентство,22000,nan
1-к. апартаменты,48,16,19,Приморская ,31,nan,Агентство,37000,nan
1-к. квартира,40,10,17,Парк Победы ,6–10,nan,Агентство,35000,nan
Квартира-студия,30,13,15,Елизаровская ,31,nan,Агентство,27000,nan
2-к. квартира,110,4,5,Чернышевская ,16–20,nan,Агентство,70000,nan
1-к. квартира,36,19,21,Площадь Мужества ,21–30,nan,Агентство,32000,nan
1-к. квартира,44,3,17,Ладожская ,21–30,nan,Агентство,31000,nan
2-к. квартира,53,9,12,Василеостровская ,21–30,nan,Агентство,45000,nan
3-к. квартира,63,4,5,nan,nan,Пушкин,Агентство,33000,nan
1-к. квартира,40.3,3,12,Старая деревня ,21–30,nan,Агентство,38000,nan
4-к. квартира,104,4,4,Спасская ,6–10,nan,Агентство,170000,nan
1-к. квартира,40,8,10,nan,nan,пос. Шушары,Агентство,17500,nan
1-к. квартира,32,9,9,Гражданский проспект ,5,nan,Агентство,25000,nan
1-к. квартира,40,1,6,Рыбацкое ,31,nan,Агентство,27500,nan
2-к. квартира,42.3,4,14,Проспект Славы ,21–30,nan,Агентство,33000,nan
3-к. квартира,94,2,9,Фрунзенская ,6–10,nan,Агентство,75000,nan
3-к. квартира,60,5,9,Комендантский проспект ,21–30,nan,Агентство,37000,nan
Квартира-студия,15,1,6,Нарвская ,11–15,nan,Агентство,18000,nan
1-к. квартира,35,15,25,Рыбацкое ,31,nan,Агентство,25000,nan
2-к. квартира,50.9,5,12,Академическая ,21–30,nan,Агентство,65000,nan
1-к. квартира,39,12,14,Комендантский проспект ,31,nan,Агентство,27500,nan
Квартира-студия,25,4,25,Рыбацкое ,31,nan,Агентство,18000,nan
2-к. квартира,60,4,14,Московская ,16–20,nan,Агентство,30000,nan
1-к. квартира,70,6,8,Приморская ,11–15,nan,Агентство,65000,nan
3-к. квартира,60,9,9,Проспект Просвещения ,16–20,nan,Агентство,40000,nan
Квартира-студия,27,7,24,Парк Победы ,21–30,nan,Агентство,23000,nan
2-к. квартира,56,10,18,Ломоносовская ,16–20,nan,Агентство,35000,nan
1-к. квартира,35,8,10,Комендантский проспект ,11–15,nan,Агентство,19000,nan
1-к. квартира,40,3,10,Чёрная речка ,11–15,nan,Агентство,50000,nan
5-к. квартира,223.1,3,5,Балтийская ,21–30,nan,Агентство,300000,nan
3-к. квартира,68,2,5,Чёрная речка ,6–10,nan,Агентство,50000,nan
Квартира-студия,30,8,18,Звёздная ,21–30,nan,Агентство,26000,nan
1-к. апартаменты,43,9,12,Площадь Мужества ,6–10,nan,Агентство,45000,nan
3-к. квартира,65,8,9,Обводный канал ,11–15,nan,Агентство,65000,nan
1-к. квартира,40,4,5,Рыбацкое ,31,nan,Агентство,15000,nan
2-к. квартира,57,11,19,Купчино ,6–10,nan,Агентство,40000,nan
1-к. квартира,40,7,12,Комендантский проспект ,31,nan,Агентство,40000,nan
Квартира-студия,20.5,1,14,Озерки ,31,nan,Агентство,17000,nan
Квартира-студия,26,7,25,Комендантский проспект ,31,nan,Агентство,20000,nan
2-к. квартира,74,3,6,Василеостровская ,6–10,nan,Агентство,68000,nan
2-к. квартира,43,1,5,Автово ,11–15,nan,Агентство,26000,nan
1-к. квартира,37.5,13,25,Парнас ,21–30,nan,Агентство,25000,nan
2-к. квартира,60,4,18,Приморская ,31,nan,Агентство,39000,nan
1-к. квартира,50,16,18,Академическая ,16–20,nan,Агентство,32000,nan
2-к. квартира,63,3,4,Чернышевская ,21–30,nan,Агентство,71000,nan
3-к. квартира,100,9,10,Площадь А Невского II ,16–20,nan,Агентство,100000,nan
Квартира-студия,26,13,25,Комендантский проспект ,31,nan,Агентство,28000,nan
2-к. квартира,70,16,23,Гражданский проспект ,11–15,nan,Агентство,45000,nan
1-к. квартира,34,14,21,Комендантский проспект ,31,nan,Агентство,18000,nan
2-к. квартира,85,5,8,Крестовский остров ,5,nan,Агентство,80000,nan
Квартира-студия,25,7,12,nan,nan,р-н Красносельский,Агентство,17000,nan
1-к. квартира,31,2,5,Петроградская ,11–15,nan,Агентство,28000,nan
Квартира-студия,26,3,16,Проспект Ветеранов ,31,nan,Агентство,21000,nan
Квартира-студия,20,12,20,Озерки ,31,nan,Агентство,17990,nan
3-к. квартира,85,6,12,Выборгская ,5,nan,Агентство,80000,nan
Квартира-студия,21.7,9,13,Академическая ,31,nan,Агентство,20000,nan
2-к. квартира,49,3,10,Проспект Ветеранов ,11–15,nan,Агентство,30000,nan
1-к. квартира,44,6,25,Комендантский проспект ,31,nan,Агентство,31500,nan
3-к. квартира,60.5,3,5,Академическая ,16–20,nan,Агентство,28000,nan
1-к. квартира,32,3,9,Озерки ,16–20,nan,Агентство,20000,nan
1-к. квартира,32,16,19,nan,nan,р-н Приморский,Агентство,32000,nan
3-к. квартира,65,7,16,Проспект Большевиков ,6–10,nan,Агентство,42000,nan
2-к. квартира,59.5,16,20,Парнас ,11–15,nan,Агентство,38000,nan
3-к. квартира,70,5,7,Парк Победы ,5,nan,Агентство,80000,nan
4-к. квартира,147,6,6,Петроградская ,5,nan,Агентство,120000,nan
3-к. квартира,79.8,14,16,Проспект Просвещения ,6–10,nan,Агентство,45000,nan
2-к. квартира,110,7,9,Чкаловская ,16–20,nan,Агентство,115000,nan
1-к. квартира,34,12,22,Проспект Ветеранов ,31,nan,Агентство,27000,nan
2-к. квартира,50,5,9,Приморская ,11–15,nan,Агентство,45000,nan
2-к. квартира,52,7,22,Приморская ,6–10,nan,Агентство,50000,nan
2-к. квартира,70,17,25,Беговая ,11–15,nan,Агентство,55000,nan
1-к. квартира,35,4,5,nan,nan,р-н Красносельский,Агентство,21000,nan
Квартира-студия,25,23,26,Гражданский проспект ,31,nan,Агентство,19000,nan
2-к. квартира,54,3,17,Гражданский проспект ,6–10,nan,Агентство,30000,nan
1-к. квартира,45,2,7,nan,nan,р-н Красносельский,Агентство,29000,nan
Квартира-студия,32,5,25,Ладожская ,31,nan,Агентство,19000,nan
1-к. квартира,35,5,9,Проспект Ветеранов ,31,nan,Агентство,22000,nan
1-к. квартира,34,2,9,Купчино ,21–30,nan,Агентство,23000,nan
2-к. квартира,69,8,22,Звёздная ,16–20,nan,Агентство,50000,nan
Квартира-студия,25,11,19,Проспект Большевиков ,16–20,nan,Агентство,18000,nan
3-к. квартира,100,10,16,Приморская ,16–20,nan,Агентство,100000,nan
3-к. квартира,130,4,14,Приморская ,21–30,nan,Агентство,100000,nan
2-к. квартира,57,3,13,Приморская ,11–15,nan,Агентство,60500,nan
Квартира-студия,18,2,16,Выборгская ,21–30,nan,Агентство,24000,nan
Апартаменты-студия,20,7,20,Парнас ,11–15,nan,Агентство,16000,nan
2-к. квартира,50,1,5,Чернышевская ,11–15,nan,Агентство,60000,nan
1-к. квартира,43,4,6,Проспект Ветеранов ,31,nan,Агентство,27000,nan
2-к. квартира,48,4,9,Проспект Большевиков ,31,nan,Агентство,30000,nan
1-к. квартира,42,16,22,Парнас ,21–30,nan,Агентство,32000,nan
1-к. квартира,38,8,23,Звёздная ,11–15,nan,Агентство,27000,nan
1-к. квартира,35,18,25,Старая деревня ,21–30,nan,Агентство,29000,nan
1-к. квартира,42,7,16,Приморская ,6–10,nan,Агентство,37000,nan
1-к. квартира,41.5,4,10,Дунайская ,5,nan,Агентство,24000,nan
2-к. квартира,55,6,19,Фрунзенская ,6–10,nan,Агентство,65000,nan
2-к. квартира,42,4,5,Звёздная ,21–30,nan,Агентство,40000,nan
4-к. квартира,130,3,5,Невский проспект ,5,nan,Агентство,90000,nan
1-к. квартира,45,5,5,Садовая ,16–20,nan,Агентство,38000,nan
2-к. квартира,65,2,5,Чернышевская ,6–10,nan,Агентство,45000,nan
2-к. квартира,65,14,14,Фрунзенская ,6–10,nan,Агентство,80000,nan
3-к. квартира,66.8,6,9,Проспект Ветеранов ,21–30,nan,Агентство,30000,nan
1-к. квартира,43.7,8,24,Улица Дыбенко ,21–30,nan,Агентство,25000,nan
1-к. квартира,42.8,14,20,Ладожская ,31,nan,Агентство,30000,nan
1-к. квартира,46.1,7,17,Озерки ,21–30,nan,Агентство,30000,nan
1-к. квартира,35,1,25,Площадь Мужества ,21–30,nan,Агентство,30000,nan
1-к. квартира,37,14,17,Звёздная ,21–30,nan,Агентство,23000,nan
3-к. квартира,86,5,5,Новочеркасская ,6–10,nan,Агентство,50000,nan
Апартаменты-студия,16.2,3,4,Выборгская ,6–10,nan,Агентство,31000,nan
Квартира-студия,25,24,24,Комендантский проспект ,31,nan,Агентство,24000,nan
1-к. квартира,40,8,13,Фрунзенская ,11–15,nan,Агентство,45000,nan
1-к. квартира,42,4,8,Крестовский остров ,16–20,nan,Агентство,70000,nan
3-к. квартира,63,8,9,Улица Дыбенко ,16–20,nan,Агентство,39000,nan
3-к. квартира,73,6,14,Фрунзенская ,6–10,nan,Агентство,80000,nan
Апартаменты-студия,24,10,21,Купчино ,5,nan,Агентство,36000,nan
3-к. квартира,57.9,7,9,Проспект Большевиков ,21–30,nan,Агентство,40000,nan
Квартира-студия,40,11,20,Проспект Просвещения ,21–30,nan,Агентство,27000,nan
1-к. квартира,41,7,12,Автово ,11–15,nan,Агентство,25000,nan
1-к. квартира,40,11,25,Парнас ,6–10,nan,Агентство,25000,nan
2-к. квартира,75,3,7,Крестовский остров ,6–10,nan,Агентство,120000,nan
Квартира-студия,28,1,12,nan,nan,пос. Шушары,Агентство,20000,nan
Квартира-студия,33,2,14,nan,nan,пос. Парголово,Агентство,23000,nan
3-к. квартира,53,5,5,Автово ,11–15,nan,Агентство,50000,nan
2-к. квартира,58,3,5,Площадь Восстания ,11–15,nan,Агентство,48000,nan
4-к. квартира,100,6,6,Гостиный двор ,5,nan,Агентство,79000,nan
Квартира-студия,30,5,12,Старая деревня ,21–30,nan,Агентство,29000,nan
1-к. квартира,35,4,12,Площадь Мужества ,11–15,nan,Агентство,28000,nan
4-к. квартира,120,3,10,Чкаловская ,11–15,nan,Агентство,149000,nan
Квартира-студия,20,2,5,Звенигородская ,5,nan,Агентство,28000,nan
2-к. квартира,64,6,22,Петроградская ,11–15,nan,Агентство,50000,nan
Апартаменты-студия,20,8,10,Лиговский проспект ,6–10,nan,Агентство,43200,nan
1-к. квартира,33,4,9,Парнас ,21–30,nan,Агентство,23000,nan
2-к. квартира,60,9,10,Удельная ,11–15,nan,Агентство,30000,nan
Квартира-студия,26,5,15,Елизаровская ,31,nan,Агентство,25000,nan
1-к. квартира,30.9,4,5,nan,nan,Красное Село,Агентство,17500,nan
Квартира-студия,18,1,5,Чернышевская ,16–20,nan,Агентство,23000,nan
1-к. квартира,44,3,12,Озерки ,6–10,nan,Агентство,35000,nan
1-к. квартира,37.4,2,22,nan,nan,р-н Красносельский,Агентство,35000,nan
3-к. квартира,60,1,9,Проспект Ветеранов ,31,nan,Агентство,35000,nan
3-к. квартира,60,4,12,nan,nan,р-н Красносельский,Агентство,35000,nan
3-к. квартира,80,3,6,Петроградская ,6–10,nan,Агентство,110000,nan
1-к. квартира,45,8,18,nan,nan,Сестрорецк,Агентство,40000,nan
1-к. квартира,38,20,27,Парнас ,31,nan,Агентство,25000,nan
1-к. квартира,31,1,2,nan,nan,пос. Песочный,Агентство,19000,nan
Квартира-студия,29,7,18,Бухарестская ,5,nan,Агентство,38000,nan
2-к. квартира,78,25,25,Озерки ,16–20,nan,Агентство,45000,nan
1-к. квартира,40,14,18,Звёздная ,6–10,nan,Агентство,34000,nan
Квартира-студия,30,2,12,Парк Победы ,21–30,nan,Агентство,29000,nan
2-к. квартира,45,10,12,Приморская ,16–20,nan,Агентство,42000,nan
1-к. квартира,36,7,10,Комендантский проспект ,31,nan,Агентство,24000,nan
3-к. квартира,83.3,10,16,Комендантский проспект ,11–15,nan,Агентство,60000,nan
1-к. квартира,40,7,9,nan,nan,пос. Песочный,Агентство,25000,nan
1-к. квартира,35,4,9,nan,nan,р-н Красносельский,Агентство,23000,nan
2-к. квартира,150,2,3,Чернышевская ,6–10,nan,Агентство,75000,nan
1-к. квартира,50,3,9,Выборгская ,16–20,nan,Агентство,60000,nan
1-к. квартира,36,3,6,Беговая ,11–15,nan,Агентство,30000,nan
3-к. квартира,90,5,16,nan,nan,пос. Парголово,Агентство,35000,nan
2-к. квартира,43,2,5,Ленинский проспект ,21–30,nan,Агентство,32000,nan
Квартира-студия,20,1,4,nan,nan,пос. Шушары,Агентство,19000,nan
1-к. квартира,53,16,19,Московские ворота ,6–10,nan,Агентство,70000,nan
1-к. квартира,32,6,9,Ладожская ,31,nan,Агентство,25000,nan
1-к. квартира,45,3,5,Чернышевская ,11–15,nan,Агентство,55000,nan
2-к. квартира,46,3,5,nan,nan,Сестрорецк,Агентство,35000,nan
1-к. квартира,44,3,6,Волковская ,6–10,nan,Агентство,35000,nan
Квартира-студия,32,2,8,Московская ,16–20,nan,Агентство,27000,nan
1-к. квартира,40,5,16,Озерки ,21–30,nan,Агентство,23000,nan
1-к. квартира,43,6,9,Василеостровская ,21–30,nan,Агентство,50000,nan
Квартира-студия,29.4,13,17,Политехническая ,11–15,nan,Агентство,35000,nan
Квартира-студия,27,15,25,Звёздная ,11–15,nan,Агентство,27000,nan
1-к. квартира,46,5,15,Электросила ,5,nan,Агентство,45000,nan
2-к. квартира,48,5,5,nan,nan,Пушкин,Агентство,25000,nan
2-к. квартира,52,2,9,Проспект Просвещения ,21–30,nan,Агентство,35000,nan
2-к. квартира,56,4,10,nan,nan,Колпино,Агентство,23000,nan
4-к. апартаменты,120,2,2,nan,nan,пос. Усть-Ижора,Агентство,110500,nan
Квартира-студия,24.2,5,8,nan,nan,р-н Красносельский,Агентство,19000,nan
Квартира-студия,26,5,18,Звёздная ,21–30,nan,Агентство,25000,nan
1-к. квартира,55,4,14,Удельная ,6–10,nan,Агентство,60000,nan
1-к. квартира,45,10,11,Площадь Мужества ,11–15,nan,Агентство,40000,nan
3-к. квартира,75,6,12,Ленинский проспект ,11–15,nan,Агентство,53000,nan
3-к. квартира,65.1,3,14,Проспект Славы ,21–30,nan,Агентство,40000,nan
2-к. квартира,75,9,11,Приморская ,21–30,nan,Агентство,70000,nan
Квартира-студия,23,16,24,Комендантский проспект ,31,nan,Агентство,23000,nan
Квартира-студия,26,4,12,Комендантский проспект ,31,nan,Агентство,22000,nan
2-к. квартира,61,3,9,Проспект Ветеранов ,31,nan,Агентство,28000,nan
1-к. квартира,58.5,8,8,Площадь А Невского II ,11–15,nan,Агентство,65000,nan
Квартира-студия,25.5,13,22,Комендантский проспект ,31,nan,Агентство,23000,nan
2-к. квартира,70,11,17,Звёздная ,6–10,nan,Агентство,50000,nan
Апартаменты-студия,19.2,15,22,Парнас ,11–15,nan,Агентство,15000,nan
2-к. квартира,55,8,12,Парк Победы ,21–30,nan,Агентство,50000,nan
2-к. квартира,44.4,2,5,nan,nan,пос. Шушары,Агентство,23000,nan
3-к. квартира,73,6,14,Фрунзенская ,6–10,nan,Агентство,80000,nan
2-к. квартира,70,3,5,Петроградская ,6–10,nan,Агентство,65000,nan
1-к. квартира,28,8,11,Старая деревня ,6–10,nan,Агентство,31500,nan
Апартаменты-студия,23,1,12,Старая деревня ,11–15,nan,Агентство,62500,nan
2-к. квартира,80,5,7,Проспект Просвещения ,11–15,nan,Агентство,42000,nan
2-к. квартира,46,7,9,nan,nan,р-н Калининский,Агентство,25000,nan
3-к. квартира,80,2,5,Новочеркасская ,6–10,nan,Агентство,48000,nan
2-к. квартира,55,2,4,Чёрная речка ,6–10,nan,Агентство,40000,nan
Квартира-студия,29.5,8,23,Проспект Ветеранов ,31,nan,Агентство,18000,nan
3-к. квартира,70,1,5,Московская ,6–10,nan,Агентство,55000,nan
2-к. квартира,50,2,3,Невский проспект ,6–10,nan,Агентство,65000,nan
Апартаменты-студия,27,3,10,Лиговский проспект ,6–10,nan,Агентство,60000,nan
Квартира-студия,30,13,14,Московская ,11–15,nan,Агентство,35000,nan
1-к. квартира,37,7,11,Обводный канал ,11–15,nan,Агентство,45000,nan
Квартира-студия,26,21,25,Рыбацкое ,31,nan,Агентство,20000,nan
1-к. квартира,40,8,23,Улица Дыбенко ,21–30,nan,Агентство,32000,nan
5-к. квартира,262.6,1,7,Крестовский остров ,6–10,nan,Агентство,1700000,nan
2-к. квартира,47,4,9,Площадь Мужества ,21–30,nan,Агентство,32000,nan
2-к. квартира,67.8,6,6,Выборгская ,6–10,nan,Агентство,45000,nan
3-к. квартира,78,8,16,Проспект Просвещения ,6–10,nan,Агентство,40000,nan
2-к. квартира,52,12,16,Пионерская ,16–20,nan,Агентство,30000,nan
2-к. квартира,56.7,4,17,nan,nan,р-н Красногвардейский,Агентство,50000,nan
1-к. квартира,32,2,5,Чернышевская ,11–15,nan,Агентство,39900,nan
Квартира-студия,23,6,6,Технологический инт I ,6–10,nan,Агентство,45000,nan
Апартаменты-студия,18,2,5,Выборгская ,6–10,nan,Агентство,37000,nan
1-к. квартира,45,1,2,nan,nan,д. Средняя Колония,Агентство,17900,nan
1-к. квартира,50.7,3,5,Чернышевская ,5,nan,Агентство,60000,nan
1-к. квартира,47,5,5,nan,nan,Павловск,Агентство,40000,nan
3-к. квартира,75.4,1,9,nan,nan,пос. Шушары,Агентство,30000,nan
Квартира-студия,28,2,5,nan,nan,р-н Московский,Агентство,25000,nan
2-к. квартира,90,2,10,Чкаловская ,16–20,nan,Агентство,85000,nan
2-к. квартира,70,2,4,Площадь А Невского I ,21–30,nan,Агентство,40000,nan
1-к. квартира,36,5,9,nan,nan,Сестрорецк,Агентство,20000,nan
2-к. квартира,68,20,24,Купчино ,11–15,nan,Агентство,50000,nan
1-к. квартира,42,8,15,Беговая ,16–20,nan,Агентство,28000,nan
Квартира-студия,25,4,13,Лесная ,11–15,nan,Агентство,30000,nan
Квартира-студия,30,17,25,Пионерская ,5,nan,Агентство,28000,nan
Квартира-студия,25,6,14,Елизаровская ,31,nan,Агентство,24999,nan
1-к. квартира,30,4,5,Новочеркасская ,16–20,nan,Агентство,23000,nan
3-к. квартира,198.6,7,8,Балтийская ,11–15,nan,Агентство,260000,nan
2-к. квартира,48,9,9,Проспект Ветеранов ,31,nan,Агентство,31000,nan
1-к. квартира,37,4,22,Приморская ,6–10,nan,Агентство,35000,nan
3-к. квартира,48.5,3,5,Проспект Ветеранов ,11–15,nan,Агентство,25000,nan
Квартира-студия,30,12,12,Фрунзенская ,11–15,nan,Агентство,49990,nan
2-к. квартира,44,5,5,Чёрная речка ,11–15,nan,Агентство,35000,nan
Квартира-студия,28,22,24,Купчино ,31,nan,Агентство,20000,nan
2-к. квартира,70,2,5,nan,nan,Петергоф,Агентство,35000,nan
1-к. квартира,38,10,25,Комендантский проспект ,31,nan,Агентство,22000,nan
2-к. квартира,87,6,17,Московская ,6–10,nan,Агентство,65000,nan
1-к. квартира,40,16,25,Елизаровская ,31,nan,Агентство,32000,nan
1-к. квартира,37.7,12,15,Ломоносовская ,21–30,nan,Агентство,27000,nan
Апартаменты-студия,29,2,4,Сенная площадь ,6–10,nan,Агентство,55000,nan
2-к. квартира,76,2,14,Ладожская ,31,nan,Агентство,36000,nan
1-к. квартира,39,10,17,Беговая ,16–20,nan,Агентство,30000,nan
3-к. квартира,130,6,16,Приморская ,11–15,nan,Агентство,70000,nan
1-к. квартира,40,5,12,Улица Дыбенко ,31,nan,Агентство,27000,nan
Квартира-студия,25.7,11,23,Купчино ,31,nan,Агентство,26500,nan
2-к. апартаменты,80,2,2,nan,nan,пос. Усть-Ижора,Агентство,80500,nan
Квартира-студия,31,6,25,Парнас ,31,nan,Агентство,24000,nan
1-к. квартира,37.6,5,16,Проспект Ветеранов ,31,nan,Агентство,25000,nan
3-к. квартира,62,2,9,Ленинский проспект ,11–15,nan,Агентство,42000,nan
4-к. квартира,152,7,8,Горьковская ,11–15,nan,Агентство,130000,nan
1-к. квартира,36,8,23,Рыбацкое ,21–30,nan,Агентство,20000,nan
1-к. квартира,42,8,23,Звёздная ,16–20,nan,Агентство,54000,nan
1-к. квартира,55,14,17,nan,nan,р-н Красносельский,Агентство,20000,nan
1-к. квартира,33,7,17,Улица Дыбенко ,21–30,nan,Агентство,22000,nan
Апартаменты-студия,22,4,11,Площадь Мужества ,11–15,nan,Агентство,35000,nan
1-к. квартира,31,6,11,Старая деревня ,6–10,nan,Агентство,36000,nan
2-к. квартира,53,18,25,Парнас ,31,nan,Агентство,30000,nan
1-к. квартира,38,6,9,Проспект Большевиков ,6–10,nan,Агентство,20000,nan
2-к. квартира,65,2,4,Чкаловская ,6–10,nan,Агентство,80000,nan
3-к. квартира,62,1,9,Улица Дыбенко ,11–15,nan,Агентство,32000,nan
2-к. апартаменты,58.3,3,12,Старая деревня ,11–15,nan,Агентство,60000,nan
1-к. квартира,38,13,17,nan,nan,р-н Красносельский,Агентство,18000,nan
2-к. квартира,68,19,27,Парнас ,11–15,nan,Агентство,28000,nan
2-к. квартира,70.9,2,9,Площадь А Невского II ,11–15,nan,Агентство,59000,nan
2-к. квартира,78,1,5,Балтийская ,6–10,nan,Агентство,45000,nan
Квартира-студия,25,11,20,Комендантский проспект ,31,nan,Агентство,23000,nan
2-к. квартира,70,12,18,Беговая ,6–10,nan,Агентство,70000,nan
Квартира-студия,22,15,16,Проспект Ветеранов ,16–20,nan,Агентство,25000,nan
1-к. квартира,40,7,23,Академическая ,6–10,nan,Агентство,30000,nan
2-к. квартира,69.6,6,9,Новочеркасская ,11–15,nan,Агентство,65000,nan
3-к. квартира,62,2,4,Василеостровская ,6–10,nan,Агентство,55000,nan
Квартира-студия,28,15,25,Проспект Просвещения ,21–30,nan,Агентство,26000,nan
2-к. квартира,65,5,9,Приморская ,21–30,nan,Агентство,50000,nan
3-к. квартира,106.2,1,6,Площадь А Невского I ,16–20,nan,Агентство,75000,nan
1-к. квартира,25.5,21,25,Купчино ,31,nan,Агентство,22000,nan
2-к. квартира,75,2,3,Беговая ,31,nan,Агентство,120000,nan
1-к. квартира,45,5,10,Чкаловская ,5,nan,Агентство,65000,nan
1-к. квартира,36.9,1,25,Комендантский проспект ,31,nan,Агентство,24000,nan
1-к. квартира,38,2,7,Крестовский остров ,16–20,nan,Агентство,55000,nan
3-к. квартира,76,11,16,Нарвская ,16–20,nan,Агентство,42000,nan
1-к. квартира,30,6,13,Академическая ,31,nan,Агентство,20000,nan
1-к. квартира,31,4,5,Парк Победы ,11–15,nan,Агентство,17000,nan
2-к. квартира,66.4,5,9,Лесная ,21–30,nan,Агентство,30000,nan
3-к. квартира,74,3,20,Проспект Ветеранов ,31,nan,Агентство,40000,nan
1-к. квартира,42,15,25,Беговая ,11–15,nan,Агентство,40000,nan
Квартира-студия,24.4,2,8,nan,nan,р-н Красносельский,Агентство,12500,nan
1-к. квартира,31.2,7,9,Новочеркасская ,11–15,nan,Агентство,25000,nan
Апартаменты-студия,22.1,5,20,Парнас ,11–15,nan,Агентство,22000,nan
1-к. квартира,51,21,23,Обухово ,31,nan,Агентство,31500,nan
Квартира-студия,30,5,16,Проспект Ветеранов ,31,nan,Агентство,20000,nan
3-к. квартира,57,5,5,Балтийская ,11–15,nan,Агентство,40000,nan
Квартира-студия,30,6,16,Гражданский проспект ,6–10,nan,Агентство,25000,nan
1-к. квартира,37,3,10,nan,nan,пос. Стрельна,Агентство,22000,nan
2-к. квартира,52,1,25,Гражданский проспект ,11–15,nan,Агентство,35000,nan
Квартира-студия,33,14,27,Девяткино ,16–20,nan,Агентство,22000,nan
3-к. квартира,71.2,2,4,Чернышевская ,6–10,nan,Агентство,70000,nan
3-к. квартира,64,7,9,Проспект Ветеранов ,31,nan,Агентство,29000,nan
1-к. квартира,38.1,17,17,nan,nan,р-н Красносельский,Агентство,19000,nan
1-к. квартира,42.7,4,6,nan,nan,Сестрорецк,Агентство,40000,nan
1-к. квартира,42,16,24,Звёздная ,6–10,nan,Агентство,40000,nan
Квартира-студия,23,16,18,Бухарестская ,5,nan,Агентство,34000,nan
1-к. квартира,30,3,5,Ломоносовская ,21–30,nan,Агентство,19000,nan
3-к. квартира,100,2,5,Удельная ,11–15,nan,Агентство,57000,nan
2-к. квартира,51,6,9,Удельная ,6–10,nan,Агентство,50000,nan
1-к. квартира,42,9,27,Беговая ,21–30,nan,Агентство,36000,nan
1-к. квартира,35.6,8,12,Академическая ,11–15,nan,Агентство,25000,nan
3-к. квартира,92,12,20,Чёрная речка ,16–20,nan,Агентство,60000,nan
1-к. квартира,41,8,9,Площадь Мужества ,11–15,nan,Агентство,23000,nan
1-к. квартира,31,3,5,nan,nan,Ломоносов,Агентство,17000,nan
2-к. квартира,34.5,22,22,Беговая ,21–30,nan,Агентство,40000,nan
Квартира-студия,34,2,5,Маяковская ,5,nan,Агентство,44900,nan
2-к. квартира,64,13,19,Академическая ,16–20,nan,Агентство,50000,nan
2-к. квартира,43.3,3,5,Электросила ,16–20,nan,Агентство,30000,nan
2-к. квартира,64,8,8,Беговая ,11–15,nan,Агентство,195000,nan
1-к. квартира,33.5,4,21,Купчино ,31,nan,Агентство,23000,nan
3-к. квартира,112,6,6,Спортивная ,6–10,nan,Агентство,70000,nan
2-к. квартира,73.8,6,12,Удельная ,6–10,nan,Агентство,90000,nan
1-к. квартира,40,24,25,Комендантский проспект ,31,nan,Агентство,24000,nan
Квартира-студия,29,15,18,Бухарестская ,5,nan,Агентство,38000,nan
1-к. квартира,38,13,19,Комендантский проспект ,31,nan,Агентство,24000,nan
2-к. квартира,65,5,10,Приморская ,6–10,nan,Агентство,53000,nan
2-к. квартира,60,2,4,Площадь Восстания ,5,nan,Агентство,59900,nan
2-к. квартира,55,17,17,Беговая ,21–30,nan,Агентство,48000,nan
4-к. квартира,130,3,5,Невский проспект ,5,nan,Агентство,90000,nan
Квартира-студия,23,1,10,Площадь А Невского II ,16–20,nan,Агентство,33000,nan
1-к. квартира,40,6,23,Проспект Просвещения ,16–20,nan,Агентство,30000,nan
Квартира-студия,24,8,25,nan,nan,р-н Красносельский,Агентство,17000,nan
