Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
1-к. квартира,38,3,16,Политехническая ,21–30,nan,Агентство,27000,nan
1-к. квартира,43,1,25,Проспект Славы ,16–20,nan,Агентство,29000,nan
Апартаменты-студия,23,7,11,Площадь Мужества ,11–15,nan,Агентство,35000,nan
2-к. квартира,42,2,5,Петроградская ,6–10,nan,Агентство,45000,nan
Квартира-студия,23,1,21,Комендантский проспект ,31,nan,Агентство,19000,nan
1-к. квартира,31,7,9,Ладожская ,31,nan,Агентство,19000,nan
1-к. квартира,30,2,9,Улица Дыбенко ,21–30,nan,Агентство,27000,nan
Квартира-студия,24,2,7,Василеостровская ,6–10,nan,Агентство,30000,nan
Квартира-студия,29,23,25,Площадь Мужества ,31,nan,Агентство,25000,nan
Квартира-студия,26.3,8,26,Рыбацкое ,31,nan,Агентство,17000,nan
1-к. квартира,42,22,25,Парнас ,21–30,nan,Агентство,18000,nan
Квартира-студия,19,2,5,Приморская ,21–30,nan,Агентство,25000,nan
2-к. квартира,45,3,5,Площадь Мужества ,6–10,nan,Агентство,27000,nan
1-к. квартира,31,5,14,Звёздная ,6–10,nan,Агентство,28000,nan
1-к. квартира,37.7,9,15,Пионерская ,6–10,nan,Агентство,40000,nan
Квартира-студия,24,4,10,nan,nan,р-н Красносельский,Агентство,15000,nan
1-к. квартира,45,5,12,Чкаловская ,16–20,nan,Агентство,65000,nan
1-к. квартира,52.4,9,13,Василеостровская ,16–20,nan,Агентство,53000,nan
Апартаменты-студия,27,3,11,Василеостровская ,16–20,nan,Агентство,35000,nan
1-к. квартира,37,2,12,Московская ,16–20,nan,Агентство,30000,nan
1-к. квартира,36,7,23,Проспект Ветеранов ,21–30,nan,Агентство,25000,nan
1-к. квартира,36,9,20,Гражданский проспект ,31,nan,Агентство,18000,nan
1-к. квартира,33,8,9,Пионерская ,6–10,nan,Агентство,20000,nan
1-к. квартира,43,3,6,Петроградская ,6–10,nan,Агентство,55000,nan
2-к. квартира,49.3,1,5,nan,nan,Пушкин,Агентство,23000,nan
1-к. квартира,34,10,12,Проспект Просвещения ,6–10,nan,Агентство,19000,nan
2-к. квартира,45,7,9,Ладожская ,21–30,nan,Агентство,27000,nan
Квартира-студия,20,1,2,Проспект Ветеранов ,21–30,nan,Агентство,18000,nan
Квартира-студия,25.6,12,12,Комендантский проспект ,31,nan,Агентство,20000,nan
2-к. квартира,51,1,9,Ладожская ,31,nan,Агентство,26000,nan
1-к. квартира,38,8,14,Звёздная ,21–30,nan,Агентство,35000,nan
1-к. квартира,54,6,7,Новочеркасская ,6–10,nan,Агентство,70000,nan
