Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
1-к. квартира,44.5,9,9,Выборгская ,16–20,nan,Собственник,55000,nan
5-к. квартира,220,7,8,Крестовский остров ,5,nan,Собственник,400000,nan
4-к. квартира,49,3,5,Ленинский проспект ,6–10,nan,Собственник,40000,nan
1-к. квартира,47,2,11,Дунайская ,16–20,nan,Собственник,27000,nan
1-к. квартира,42,10,14,Проспект Славы ,16–20,nan,Собственник,32000,nan
1-к. квартира,32,4,9,nan,nan,р-н Красносельский,Собственник,25000,nan
Квартира-студия,31.2,5,14,Фрунзенская ,6–10,nan,Собственник,55000,nan
2-к. квартира,53,9,12,Парк Победы ,21–30,nan,Собственник,50000,nan
Квартира-студия,29,4,17,Звёздная ,16–20,nan,Собственник,32000,nan
1-к. квартира,35,11,13,Комендантский проспект ,31,nan,Собственник,27000,nan
4-к. квартира,172,4,6,Чернышевская ,11–15,nan,Собственник,250000,nan
2-к. квартира,71.2,4,5,Петроградская ,6–10,nan,Собственник,100000,nan
1-к. квартира,55,24,25,Беговая ,11–15,nan,Собственник,75000,nan
1-к. квартира,31,12,16,Ломоносовская ,31,nan,Собственник,27500,nan
Квартира-студия,25,4,12,Комендантский проспект ,31,nan,Собственник,25000,nan
1-к. квартира,30,9,10,Удельная ,16–20,nan,Собственник,40000,nan
1-к. квартира,45,5,5,Кировский завод ,6–10,nan,Собственник,35000,nan
2-к. квартира,50,8,9,Нарвская ,21–30,nan,Собственник,40000,nan
1-к. квартира,41.6,11,19,Ладожская ,16–20,nan,Собственник,33000,nan
2-к. квартира,52,14,20,nan,nan,р-н Красносельский,Собственник,35000,nan
1-к. квартира,38,8,25,Проспект Просвещения ,31,nan,Собственник,29000,nan
3-к. квартира,75,3,7,Новочеркасская ,21–30,nan,Собственник,55000,nan
Квартира-студия,26.1,10,15,Проспект Просвещения ,11–15,nan,Собственник,20000,nan
1-к. квартира,41,11,25,Рыбацкое ,31,nan,Собственник,27000,nan
1-к. квартира,36.5,12,27,Рыбацкое ,6–10,nan,Собственник,23000,nan
1-к. квартира,37,5,7,Московская ,11–15,nan,Собственник,27000,nan
2-к. квартира,60,2,5,Адмиралтейская ,6–10,nan,Собственник,95000,nan
Квартира-студия,25.4,4,8,nan,nan,р-н Красносельский,Собственник,20000,nan
Квартира-студия,27,12,16,Ломоносовская ,31,nan,Собственник,22000,nan
Квартира-студия,30,8,11,Обводный канал ,11–15,nan,Собственник,45000,nan
1-к. квартира,34,12,16,Парнас ,11–15,nan,Собственник,25000,nan
3-к. квартира,73,4,5,Удельная ,5,nan,Собственник,45000,nan
Квартира-студия,25,1,8,nan,nan,р-н Московский,Собственник,19000,nan
Квартира-студия,30,14,19,Фрунзенская ,6–10,nan,Собственник,37000,nan
1-к. квартира,40.5,9,17,Пролетарская ,6–10,nan,Собственник,30000,nan
Квартира-студия,22,5,10,Купчино ,31,nan,Собственник,18000,nan
1-к. квартира,40,4,16,nan,nan,пос. Новогорелово,Собственник,23000,nan
Квартира-студия,28,5,16,nan,nan,р-н Красносельский,Собственник,16000,nan
1-к. квартира,34,2,7,Московская ,11–15,nan,Собственник,25000,nan
1-к. квартира,30,1,3,nan,nan,Петергоф,Собственник,18000,nan
Квартира-студия,25,7,25,Комендантский проспект ,31,nan,Собственник,20000,nan
1-к. квартира,35,18,19,Приморская ,31,nan,Собственник,42000,nan
Квартира-студия,30,11,14,nan,nan,р-н Приморский,Собственник,29000,nan
1-к. квартира,33,2,3,nan,nan,Павловск,Собственник,23000,nan
2-к. квартира,64,4,10,Проспект Ветеранов ,11–15,nan,Собственник,30000,nan
Апартаменты-студия,26,14,20,Парнас ,11–15,nan,Собственник,20000,nan
2-к. квартира,46,4,5,Парк Победы ,11–15,nan,Собственник,30000,nan
1-к. квартира,33,19,22,Девяткино ,11–15,nan,Собственник,22000,nan
Квартира-студия,28,20,24,Обухово ,31,nan,Собственник,21000,nan
2-к. квартира,60.1,3,5,Лиговский проспект ,5,nan,Собственник,70000,nan
Квартира-студия,27,19,27,Купчино ,31,nan,Собственник,20000,nan
Квартира-студия,27,8,16,Московская ,16–20,nan,Собственник,22000,nan
2-к. квартира,45,7,9,Проспект Ветеранов ,31,nan,Собственник,25000,nan
1-к. квартира,45,11,20,Гражданский проспект ,6–10,nan,Собственник,29000,nan
1-к. квартира,36,3,22,Площадь Мужества ,31,nan,Собственник,22000,nan
1-к. квартира,31,5,9,Площадь Мужества ,31,nan,Собственник,19000,nan
2-к. квартира,40,1,3,nan,nan,Ломоносов,Собственник,22000,nan
Квартира-студия,27,8,16,Ломоносовская ,31,nan,Собственник,20000,nan
Квартира-студия,27,15,23,nan,nan,р-н Красносельский,Собственник,22000,nan
1-к. квартира,30,5,5,Пролетарская ,6–10,nan,Собственник,22000,nan
1-к. квартира,38.2,21,25,Гражданский проспект ,31,nan,Собственник,20000,nan
1-к. квартира,35,9,12,Проспект Ветеранов ,21–30,nan,Собственник,23000,nan
2-к. квартира,50.5,4,7,Московская ,6–10,nan,Собственник,55000,nan
Апартаменты-студия,23.2,7,20,Парнас ,11–15,nan,Собственник,25000,nan
