Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
1-к. квартира,37.5,4,16,Удельная ,21–30,nan,Собственник,25000,nan
2-к. квартира,73,6,25,Дунайская ,6–10,nan,Собственник,50000,nan
1-к. квартира,29,1,8,Купчино ,11–15,nan,Собственник,28000,nan
Квартира-студия,24.6,1,14,Московская ,16–20,nan,Собственник,25000,nan
2-к. квартира,45,11,12,Озерки ,16–20,nan,Собственник,29000,nan
2-к. квартира,82.7,3,5,Спортивная ,5,nan,Собственник,58000,nan
1-к. квартира,34,15,20,Комендантский проспект ,31,nan,Собственник,30000,nan
Квартира-студия,20,12,12,Озерки ,31,nan,Собственник,18000,nan
1-к. квартира,36.1,10,15,Звёздная ,31,nan,Собственник,38000,nan
Квартира-студия,25.7,13,19,Комендантский проспект ,31,nan,Собственник,27000,nan
3-к. квартира,64.3,2,5,Адмиралтейская ,16–20,nan,Собственник,38000,nan
2-к. квартира,80,6,6,Лиговский проспект ,5,nan,Собственник,45000,nan
3-к. квартира,63.8,3,10,Лиговский проспект ,6–10,nan,Собственник,92000,nan
2-к. квартира,58,12,20,nan,nan,р-н Приморский,Собственник,39000,nan
1-к. квартира,48,7,7,Электросила ,5,nan,Собственник,50000,nan
2-к. квартира,55,5,25,nan,nan,р-н Красносельский,Собственник,40000,nan
Квартира-студия,18,1,4,Чкаловская ,6–10,nan,Собственник,30000,nan
1-к. квартира,42,7,11,Фрунзенская ,11–15,nan,Собственник,65000,nan
2-к. квартира,40,6,12,Площадь Мужества ,11–15,nan,Собственник,35000,nan
2-к. квартира,50,1,9,Комендантский проспект ,21–30,nan,Собственник,30000,nan
Апартаменты-студия,22.3,11,12,Старая деревня ,11–15,nan,Собственник,35000,nan
1-к. квартира,32,9,9,Проспект Ветеранов ,11–15,nan,Собственник,25000,nan
2-к. квартира,48,9,9,Ладожская ,31,nan,Собственник,40000,nan
Квартира-студия,28,3,5,Садовая ,5,nan,Собственник,35000,nan
Квартира-студия,24.5,6,25,nan,nan,р-н Приморский,Собственник,15000,nan
3-к. квартира,63.8,3,10,Лиговский проспект ,6–10,nan,Собственник,92000,nan
2-к. квартира,58,12,20,nan,nan,р-н Приморский,Собственник,39000,nan
2-к. квартира,55,5,25,nan,nan,р-н Красносельский,Собственник,40000,nan
Квартира-студия,18,1,4,Чкаловская ,6–10,nan,Собственник,30000,nan
1-к. квартира,42,7,11,Фрунзенская ,11–15,nan,Собственник,65000,nan
2-к. квартира,40,6,12,Площадь Мужества ,11–15,nan,Собственник,35000,nan
Апартаменты-студия,22.3,11,12,Старая деревня ,11–15,nan,Собственник,35000,nan
1-к. квартира,32,9,9,Проспект Ветеранов ,11–15,nan,Собственник,25000,nan
2-к. квартира,48,9,9,Ладожская ,31,nan,Собственник,40000,nan
Квартира-студия,28,3,5,Садовая ,5,nan,Собственник,35000,nan
1-к. квартира,43,8,8,nan,nan,р-н Красногвардейский,Собственник,27000,nan
Квартира-студия,27,7,8,nan,nan,пос. Песочный,Собственник,25000,nan
Квартира-студия,30,5,5,nan,nan,р-н Красносельский,Собственник,23000,nan
1-к. квартира,29.6,3,9,Академическая ,5,nan,Собственник,25000,nan
1-к. квартира,40.6,7,25,Беговая ,21–30,nan,Собственник,27000,nan
1-к. квартира,42,8,16,Проспект Ветеранов ,31,nan,Собственник,25000,nan
Квартира-студия,32,6,6,Чернышевская ,6–10,nan,Собственник,35000,nan
1-к. квартира,50,3,23,nan,nan,р-н Красносельский,Собственник,70000,nan
Квартира-студия,27,13,16,Улица Дыбенко ,16–20,nan,Собственник,23000,nan
2-к. квартира,44,2,9,Проспект Просвещения ,11–15,nan,Собственник,27000,nan
1-к. квартира,43.1,3,15,Ладожская ,6–10,nan,Собственник,35000,nan
1-к. квартира,32,12,23,Комендантский проспект ,31,nan,Собственник,26000,nan
2-к. квартира,62,5,16,Купчино ,31,nan,Собственник,35000,nan
1-к. квартира,31,7,9,Парк Победы ,11–15,nan,Собственник,30000,nan
1-к. квартира,30.5,23,25,nan,nan,р-н Красногвардейский,Собственник,23000,nan
2-к. квартира,57,8,16,nan,nan,р-н Красносельский,Собственник,37000,nan
2-к. квартира,46.6,9,9,Озерки ,21–30,nan,Собственник,28000,nan
1-к. квартира,42,3,10,Академическая ,6–10,nan,Собственник,30000,nan
2-к. квартира,43.9,3,5,nan,nan,Красное Село,Собственник,20000,nan
Квартира-студия,27,4,20,Выборгская ,21–30,nan,Собственник,25000,nan
1-к. квартира,38,11,24,Улица Дыбенко ,21–30,nan,Собственник,28000,nan
2-к. квартира,34,1,5,Площадь Восстания ,6–10,nan,Собственник,47000,nan
3-к. квартира,87,2,16,Проспект Просвещения ,16–20,nan,Собственник,40000,nan
1-к. квартира,38.3,10,12,nan,nan,р-н Красносельский,Собственник,23000,nan
2-к. квартира,73,6,25,Дунайская ,6–10,nan,Собственник,50000,nan
1-к. квартира,47.5,14,18,Беговая ,21–30,nan,Собственник,45000,nan
Квартира-студия,26,7,24,nan,nan,р-н Приморский,Собственник,21000,nan
1-к. квартира,37,4,12,nan,nan,городской пос. Новоселье,Собственник,24000,nan
Квартира-студия,30.3,3,4,Беговая ,31,nan,Собственник,50000,nan
3-к. квартира,63,1,5,Кировский завод ,11–15,nan,Собственник,43000,nan
3-к. квартира,74,1,16,Рыбацкое ,16–20,nan,Собственник,35000,nan
1-к. квартира,40,14,16,Улица Дыбенко ,16–20,nan,Собственник,27000,nan
2-к. квартира,54,7,9,Купчино ,11–15,nan,Собственник,32000,nan
1-к. квартира,43,1,3,nan,nan,Пушкин,Собственник,27000,nan
1-к. квартира,39,11,25,Парнас ,11–15,nan,Собственник,25000,nan
1-к. квартира,24,8,16,Парнас ,21–30,nan,Собственник,33000,nan
2-к. квартира,51,15,16,Выборгская ,21–30,nan,Собственник,45000,nan
1-к. квартира,35,7,16,Проспект Ветеранов ,31,nan,Собственник,29000,nan
2-к. квартира,56,19,27,Беговая ,21–30,nan,Собственник,43000,nan
Квартира-студия,26,6,20,Балтийская ,6–10,nan,Собственник,35000,nan
1-к. квартира,32,9,11,Старая деревня ,6–10,nan,Собственник,41000,nan
Квартира-студия,20,1,4,nan,nan,пос. Шушары,Собственник,21000,nan
1-к. квартира,34,7,9,Проспект Ветеранов ,21–30,nan,Собственник,20000,nan
1-к. квартира,35.6,8,20,Проспект Ветеранов ,31,nan,Собственник,25000,nan
2-к. квартира,45.6,6,9,Ладожская ,31,nan,Собственник,28000,nan
Квартира-студия,20.8,15,24,Комендантский проспект ,31,nan,Собственник,26000,nan
1-к. квартира,39,17,21,Старая деревня ,21–30,nan,Собственник,32000,nan
Квартира-студия,27,7,10,Василеостровская ,21–30,nan,Собственник,36000,nan
1-к. квартира,43,6,15,Беговая ,11–15,nan,Собственник,34000,nan
1-к. квартира,30.5,9,24,Обухово ,31,nan,Собственник,22000,nan
1-к. квартира,34.4,6,25,Пионерская ,5,nan,Собственник,40000,nan
1-к. квартира,34,18,21,Московская ,16–20,nan,Собственник,32000,nan
1-к. квартира,48,7,7,Электросила ,5,nan,Собственник,50000,nan
3-к. квартира,74.9,1,9,nan,nan,Колпино,Собственник,25000,nan
1-к. квартира,39,13,25,Звёздная ,11–15,nan,Собственник,30000,nan
2-к. квартира,77,9,15,Рыбацкое ,16–20,nan,Собственник,35000,nan
Квартира-студия,27,1,11,Старая деревня ,11–15,nan,Собственник,30000,nan
1-к. квартира,40,1,4,nan,nan,пос. Шушары,Собственник,40000,nan
1-к. квартира,32.1,8,25,Комендантский проспект ,31,nan,Собственник,35000,nan
3-к. квартира,58,8,9,nan,nan,Колпино,Собственник,25000,nan
1-к. квартира,32,2,3,nan,nan,Петергоф,Собственник,20000,nan
1-к. квартира,33,1,25,Гражданский проспект ,31,nan,Собственник,20000,nan
1-к. квартира,43.2,11,19,Проспект Большевиков ,21–30,nan,Собственник,27000,nan
2-к. квартира,55,7,25,Звёздная ,21–30,nan,Собственник,43000,nan
2-к. квартира,68,5,9,nan,nan,Сестрорецк,Собственник,30000,nan
3-к. квартира,49,3,5,Ленинский проспект ,6–10,nan,Собственник,30000,nan
3-к. квартира,72,2,9,Проспект Большевиков ,31,nan,Собственник,34000,nan
2-к. квартира,54,7,10,Улица Дыбенко ,11–15,nan,Собственник,40000,nan
1-к. квартира,35,5,20,nan,nan,р-н Приморский,Собственник,29500,nan
2-к. квартира,43.4,4,5,nan,nan,Пушкин,Собственник,22000,nan
1-к. квартира,42,20,25,Улица Дыбенко ,21–30,nan,Собственник,28000,nan
1-к. квартира,33,5,15,Комендантский проспект ,11–15,nan,Собственник,27000,nan
2-к. квартира,104,8,17,Проспект Славы ,16–20,nan,Собственник,50000,nan
1-к. квартира,30.4,13,24,nan,nan,р-н Приморский,Собственник,26000,nan
1-к. квартира,35.5,15,17,nan,nan,р-н Красногвардейский,Собственник,24000,nan
3-к. квартира,42,4,5,Московская ,16–20,nan,Собственник,32000,nan
1-к. квартира,45,5,5,Садовая ,16–20,nan,Собственник,38000,nan
Квартира-студия,25,3,10,Ломоносовская ,11–15,nan,Собственник,30000,nan
2-к. квартира,90,9,10,Василеостровская ,16–20,nan,Собственник,70000,nan
Квартира-студия,28,16,17,Приморская ,21–30,nan,Собственник,27000,nan
2-к. квартира,47.1,2,9,Проспект Ветеранов ,11–15,nan,Собственник,27000,nan
2-к. квартира,53,8,12,Девяткино ,21–30,nan,Собственник,27000,nan
2-к. апартаменты,56,19,22,Звёздная ,16–20,nan,Собственник,95000,nan
Квартира-студия,27,3,26,Парнас ,11–15,nan,Собственник,19000,nan
Квартира-студия,28,4,5,nan,nan,р-н Московский,Собственник,20000,nan
1-к. квартира,35,21,25,Беговая ,11–15,nan,Собственник,37000,nan
2-к. квартира,60,15,15,Ломоносовская ,21–30,nan,Собственник,50000,nan
1-к. квартира,38,3,7,Проспект Просвещения ,31,nan,Собственник,25000,nan
Квартира-студия,25,7,15,Проспект Большевиков ,21–30,nan,Собственник,23000,nan
1-к. квартира,36,8,8,nan,nan,р-н Красносельский,Собственник,32000,nan
Квартира-студия,25,11,20,nan,nan,р-н Приморский,Собственник,23000,nan
Квартира-студия,28.8,16,25,Рыбацкое ,16–20,nan,Собственник,29000,nan
2-к. квартира,61,3,18,Звёздная ,21–30,nan,Собственник,38000,nan
2-к. квартира,47.1,6,12,Проспект Большевиков ,31,nan,Собственник,27000,nan
3-к. квартира,80,2,4,Сенная площадь ,6–10,nan,Собственник,89900,nan
1-к. квартира,40,6,12,Беговая ,21–30,nan,Собственник,55000,nan
3-к. квартира,79,3,16,Проспект Большевиков ,21–30,nan,Собственник,45000,nan
1-к. квартира,32,7,7,Проспект Просвещения ,31,nan,Собственник,27000,nan
2-к. квартира,47,15,19,Приморская ,31,nan,Собственник,44895,nan
2-к. квартира,47.1,2,9,Проспект Ветеранов ,11–15,nan,Собственник,27000,nan
1-к. квартира,34,18,24,Комендантский проспект ,31,nan,Собственник,28000,nan
1-к. квартира,41.5,9,9,Удельная ,6–10,nan,Собственник,60000,nan
1-к. квартира,30,4,5,Площадь Мужества ,31,nan,Собственник,25000,nan
1-к. квартира,35,21,25,Беговая ,11–15,nan,Собственник,37000,nan
Квартира-студия,25,9,12,nan,nan,р-н Приморский,Собственник,22000,nan
2-к. квартира,55,3,4,Елизаровская ,6–10,nan,Собственник,45000,nan
1-к. квартира,37,4,5,nan,nan,р-н Приморский,Собственник,23000,nan
1-к. квартира,35,2,25,nan,nan,пос. Парголово,Собственник,25000,nan
1-к. квартира,42,6,14,Ладожская ,31,nan,Собственник,30000,nan
2-к. квартира,54,10,11,nan,nan,Колпино,Собственник,23000,nan
1-к. квартира,32,1,5,Обводный канал ,16–20,nan,Собственник,32000,nan
2-к. квартира,50,11,12,Проспект Ветеранов ,31,nan,Собственник,25000,nan
1-к. квартира,51.5,2,9,Площадь Ленина ,31,nan,Собственник,45000,nan
1-к. квартира,35,7,16,Проспект Ветеранов ,31,nan,Собственник,29000,nan
2-к. квартира,54,7,17,Проспект Большевиков ,16–20,nan,Собственник,35000,nan
1-к. квартира,32,10,25,Купчино ,31,nan,Собственник,24000,nan
1-к. квартира,39,2,5,nan,nan,р-н Московский,Собственник,37000,nan
1-к. квартира,35.3,9,11,Рыбацкое ,21–30,nan,Собственник,27000,nan
1-к. апартаменты,55,2,9,Нарвская ,11–15,nan,Собственник,40000,nan
2-к. квартира,46,3,9,nan,nan,р-н Красносельский,Собственник,25000,nan
1-к. квартира,34.3,18,25,Комендантский проспект ,31,nan,Собственник,25000,nan
1-к. квартира,39,18,19,nan,nan,р-н Красносельский,Собственник,27000,nan
3-к. квартира,67,2,8,Петроградская ,11–15,nan,Собственник,100000,nan
2-к. квартира,45.6,6,9,Ладожская ,31,nan,Собственник,28000,nan
1-к. квартира,40,6,20,Комендантский проспект ,31,nan,Собственник,25000,nan
1-к. квартира,35,2,22,nan,nan,р-н Красносельский,Собственник,32000,nan
2-к. квартира,49,4,5,Удельная ,6–10,nan,Собственник,30000,nan
3-к. квартира,78,3,10,Проспект Ветеранов ,31,nan,Собственник,40000,nan
1-к. апартаменты,24,2,4,Маяковская ,6–10,nan,Собственник,35000,nan
Квартира-студия,22,3,12,Старая деревня ,11–15,nan,Собственник,27000,nan
Квартира-студия,24.8,4,12,Комендантский проспект ,31,nan,Собственник,25000,nan
2-к. квартира,52,2,5,nan,nan,Кронштадт,Собственник,34000,nan
1-к. квартира,37,8,18,Купчино ,31,nan,Собственник,18000,nan
Квартира-студия,25,4,5,nan,nan,пос. Шушары,Собственник,25000,nan
2-к. квартира,57.5,6,9,Проспект Большевиков ,21–30,nan,Собственник,28000,nan
1-к. квартира,39,4,15,Московская ,11–15,nan,Собственник,45000,nan
2-к. квартира,52.9,5,17,Проспект Просвещения ,5,nan,Собственник,50000,nan
1-к. квартира,34,11,12,nan,nan,р-н Красносельский,Собственник,29000,nan
Квартира-студия,28,19,23,Улица Дыбенко ,31,nan,Собственник,30000,nan
4-к. квартира,87,9,27,Парнас ,21–30,nan,Собственник,40000,nan
1-к. квартира,47,7,12,Горьковская ,6–10,nan,Собственник,70000,nan
1-к. квартира,43,12,12,Комендантский проспект ,31,nan,Собственник,45000,nan
1-к. квартира,36,8,10,Обухово ,31,nan,Собственник,20000,nan
2-к. квартира,55,4,10,Политехническая ,11–15,nan,Собственник,45000,nan
2-к. квартира,100,2,7,Чернышевская ,6–10,nan,Собственник,60000,nan
2-к. квартира,58,1,5,Кировский завод ,11–15,nan,Собственник,30000,nan
1-к. квартира,30,6,9,Проспект Славы ,16–20,nan,Собственник,28000,nan
Квартира-студия,26,19,24,nan,nan,р-н Приморский,Собственник,28000,nan
Квартира-студия,23.3,7,12,Комендантский проспект ,31,nan,Собственник,25000,nan
1-к. квартира,37,4,5,nan,nan,р-н Красногвардейский,Собственник,25000,nan
2-к. квартира,50,23,25,Купчино ,5,nan,Собственник,35000,nan
Квартира-студия,23.5,10,17,Московская ,16–20,nan,Собственник,29000,nan
2-к. квартира,50,4,9,Проспект Большевиков ,21–30,nan,Собственник,38000,nan
Квартира-студия,26,10,12,nan,nan,р-н Красносельский,Собственник,24000,nan
1-к. квартира,38,10,24,Проспект Ветеранов ,31,nan,Собственник,28000,nan
1-к. квартира,42,7,23,Пролетарская ,5,nan,Собственник,40000,nan
1-к. квартира,45,10,23,Обухово ,31,nan,Собственник,23000,nan
2-к. квартира,60,5,5,nan,nan,Ломоносов,Собственник,32000,nan
1-к. квартира,39,12,16,Проспект Большевиков ,31,nan,Собственник,26000,nan
1-к. квартира,47,12,26,Гражданский проспект ,31,nan,Собственник,40000,nan
Квартира-студия,30,4,18,Приморская ,31,nan,Собственник,10000,nan
Квартира-студия,23,13,13,nan,nan,р-н Приморский,Собственник,24000,nan
2-к. апартаменты,48,6,6,nan,nan,Сестрорецк,Собственник,42000,nan
2-к. квартира,58,2,7,Василеостровская ,6–10,nan,Собственник,60000,nan
Квартира-студия,27,4,14,nan,nan,р-н Приморский,Собственник,25000,nan
2-к. квартира,46,9,9,Проспект Просвещения ,11–15,nan,Собственник,35000,nan
1-к. квартира,46,13,24,Купчино ,31,nan,Собственник,23000,nan
2-к. квартира,57,6,12,Купчино ,31,nan,Собственник,35000,nan
1-к. квартира,32,20,23,Обухово ,31,nan,Собственник,26000,nan
2-к. квартира,67.5,5,23,Пионерская ,11–15,nan,Собственник,65000,nan
2-к. квартира,63,5,12,Приморская ,16–20,nan,Собственник,63000,nan
2-к. квартира,50,10,22,Звёздная ,21–30,nan,Собственник,35000,nan
2-к. квартира,45,5,5,Парк Победы ,16–20,nan,Собственник,40000,nan
1-к. квартира,40,3,9,Комендантский проспект ,21–30,nan,Собственник,25000,nan
2-к. квартира,50,9,9,Пионерская ,11–15,nan,Собственник,30000,nan
1-к. квартира,41,13,19,Комендантский проспект ,5,nan,Собственник,27000,nan
1-к. квартира,34,8,16,Елизаровская ,31,nan,Собственник,29000,nan
3-к. квартира,68.1,11,12,Пионерская ,11–15,nan,Собственник,45000,nan
2-к. квартира,59,7,25,Комендантский проспект ,21–30,nan,Собственник,37000,nan
1-к. квартира,48,7,15,Проспект Просвещения ,5,nan,Собственник,30000,nan
1-к. квартира,41,4,16,Площадь Мужества ,11–15,nan,Собственник,36000,nan
2-к. квартира,58,3,4,nan,nan,Пушкин,Собственник,35000,nan
1-к. квартира,43,3,5,Чернышевская ,5,nan,Собственник,80000,nan
Квартира-студия,34,1,2,nan,nan,Ломоносов,Собственник,19000,nan
Квартира-студия,38,7,14,nan,nan,Колпино,Собственник,20000,nan
2-к. квартира,55,4,5,Гражданский проспект ,6–10,nan,Собственник,35000,nan
1-к. квартира,39,4,5,nan,nan,Петергоф,Собственник,18000,nan
Квартира-студия,27,9,15,Звёздная ,21–30,nan,Собственник,23000,nan
Квартира-студия,30,8,16,nan,nan,пос. Новогорелово,Собственник,22000,nan
1-к. квартира,36,4,19,Приморская ,31,nan,Собственник,30000,nan
1-к. квартира,38,13,16,Комендантский проспект ,6–10,nan,Собственник,34000,nan
1-к. квартира,40,4,25,Лесная ,21–30,nan,Собственник,21000,nan
1-к. квартира,33,3,19,Московская ,16–20,nan,Собственник,35000,nan
3-к. квартира,105,4,4,Площадь Восстания ,6–10,nan,Собственник,65000,nan
1-к. квартира,40,3,15,Звёздная ,31,nan,Собственник,35000,nan
Квартира-студия,26,14,25,Комендантский проспект ,31,nan,Собственник,23000,nan
Квартира-студия,35,7,18,Звёздная ,21–30,nan,Собственник,45000,nan
1-к. квартира,35,3,15,Ладожская ,31,nan,Собственник,23000,nan
1-к. квартира,35,12,17,nan,nan,р-н Красногвардейский,Собственник,53000,nan
1-к. квартира,37,7,24,Парк Победы ,16–20,nan,Собственник,33000,nan
1-к. квартира,34,7,10,nan,nan,р-н Красносельский,Собственник,30000,nan
2-к. квартира,46,3,10,Приморская ,11–15,nan,Собственник,35000,nan
2-к. квартира,44.5,2,9,Международная ,11–15,nan,Собственник,32000,nan
3-к. квартира,113,3,7,Садовая ,16–20,nan,Собственник,95000,nan
2-к. квартира,63,4,10,Беговая ,5,nan,Собственник,65000,nan
2-к. квартира,60,7,9,Гражданский проспект ,11–15,nan,Собственник,31000,nan
1-к. квартира,55,20,24,Пролетарская ,5,nan,Собственник,40000,nan
1-к. квартира,45,6,25,Комендантский проспект ,31,nan,Собственник,29000,nan
Апартаменты-студия,24,13,18,Бухарестская ,5,nan,Собственник,33000,nan
1-к. квартира,46,8,24,Пролетарская ,11–15,nan,Собственник,40000,nan
1-к. квартира,43,23,25,nan,nan,р-н Красносельский,Собственник,27000,nan
Квартира-студия,55,4,4,Адмиралтейская ,6–10,nan,Собственник,68000,nan
1-к. квартира,38,7,18,Приморская ,21–30,nan,Собственник,30000,nan
1-к. квартира,26,3,5,Балтийская ,21–30,nan,Собственник,27000,nan
2-к. квартира,52,2,12,Площадь Ленина ,31,nan,Собственник,70000,nan
1-к. квартира,35.5,16,25,Гражданский проспект ,31,nan,Собственник,22000,nan
2-к. квартира,47,4,9,Проспект Просвещения ,21–30,nan,Собственник,30000,nan
1-к. квартира,37,8,17,Девяткино ,5,nan,Собственник,25000,nan
2-к. квартира,73,6,14,Фрунзенская ,6–10,nan,Собственник,82000,nan
1-к. квартира,37,4,8,nan,nan,р-н Красносельский,Собственник,23000,nan
Квартира-студия,26,4,27,Парнас ,16–20,nan,Собственник,20000,nan
Апартаменты-студия,30.2,6,14,Фрунзенская ,6–10,nan,Собственник,42000,nan
3-к. квартира,75,3,7,Новочеркасская ,21–30,nan,Собственник,55000,nan
Квартира-студия,21.6,13,23,Парнас ,21–30,nan,Собственник,18000,nan
1-к. квартира,39,11,18,Дунайская ,11–15,nan,Собственник,23000,nan
1-к. квартира,49,3,16,Академическая ,16–20,nan,Собственник,30000,nan
1-к. квартира,31.5,5,5,Парк Победы ,16–20,nan,Собственник,25000,nan
1-к. квартира,32,5,5,Удельная ,11–15,nan,Собственник,28000,nan
Квартира-студия,25,4,5,nan,nan,р-н Московский,Собственник,20000,nan
3-к. квартира,70,2,5,Площадь А Невского II ,6–10,nan,Собственник,60000,nan
3-к. квартира,55.8,2,5,Политехническая ,6–10,nan,Собственник,33000,nan
1-к. квартира,40,12,12,nan,nan,р-н Красносельский,Собственник,24000,nan
2-к. квартира,35,1,3,Садовая ,6–10,nan,Собственник,46000,nan
3-к. квартира,78,5,7,Комендантский проспект ,16–20,nan,Собственник,56000,nan
2-к. квартира,23,1,12,Рыбацкое ,16–20,nan,Собственник,30000,nan
2-к. квартира,60,2,7,Ломоносовская ,21–30,nan,Собственник,40000,nan
2-к. квартира,60,24,24,Площадь Мужества ,31,nan,Собственник,42000,nan
1-к. квартира,84,3,5,Чернышевская ,11–15,nan,Собственник,55000,nan
Квартира-студия,29,3,5,nan,nan,р-н Московский,Собственник,20000,nan
2-к. квартира,59.8,15,24,Звёздная ,31,nan,Собственник,45000,nan
3-к. квартира,98,4,10,Проспект Большевиков ,11–15,nan,Собственник,44000,nan
1-к. квартира,39,9,12,nan,nan,пос. Новогорелово,Собственник,28000,nan
1-к. квартира,35,18,19,Купчино ,11–15,nan,Собственник,35000,nan
Квартира-студия,30,5,26,Елизаровская ,31,nan,Собственник,25000,nan
2-к. квартира,56,3,22,Пролетарская ,6–10,nan,Собственник,35000,nan
2-к. квартира,50,2,9,Площадь Мужества ,5,nan,Собственник,39000,nan
Квартира-студия,25,9,21,Комендантский проспект ,31,nan,Собственник,23000,nan
1-к. квартира,32,19,25,nan,nan,р-н Красногвардейский,Собственник,20000,nan
Апартаменты-студия,44.1,9,11,Лиговский проспект ,6–10,nan,Собственник,70000,nan
3-к. квартира,56,1,3,nan,nan,Петергоф,Собственник,35000,nan
Квартира-студия,22,8,11,nan,nan,пос. Шушары,Собственник,22000,nan
2-к. квартира,60,6,25,Парнас ,21–30,nan,Собственник,34000,nan
1-к. квартира,37,7,12,nan,nan,р-н Красносельский,Собственник,25000,nan
1-к. квартира,35,5,25,Беговая ,21–30,nan,Собственник,40000,nan
Квартира-студия,24,19,19,Комендантский проспект ,31,nan,Собственник,19000,nan
1-к. квартира,41.2,5,17,Озерки ,21–30,nan,Собственник,25000,nan
Квартира-студия,28,18,20,Академическая ,16–20,nan,Собственник,27000,nan
1-к. квартира,40,1,13,nan,nan,пос. Шушары,Собственник,20000,nan
Квартира-студия,27.1,8,14,nan,nan,р-н Приморский,Собственник,25000,nan
1-к. квартира,44,12,24,Площадь Мужества ,31,nan,Собственник,43000,nan
2-к. квартира,55,3,5,Академическая ,6–10,nan,Собственник,39000,nan
1-к. квартира,32,1,5,Академическая ,21–30,nan,Собственник,26000,nan
4-к. квартира,99,4,13,nan,nan,пос. Шушары,Собственник,45000,nan
1-к. квартира,40,18,27,Парнас ,16–20,nan,Собственник,26000,nan
2-к. квартира,62,12,24,Проспект Славы ,11–15,nan,Собственник,50000,nan
3-к. квартира,59.3,1,5,Ладожская ,6–10,nan,Собственник,35000,nan
2-к. квартира,64,8,9,nan,nan,пос. Шушары,Собственник,25000,nan
1-к. квартира,32.5,3,25,Парнас ,21–30,nan,Собственник,25000,nan
2-к. квартира,50,15,18,Бухарестская ,5,nan,Собственник,50000,nan
Квартира-студия,20,1,6,Чкаловская ,6–10,nan,Собственник,37000,nan
1-к. квартира,33,1,14,Парнас ,31,nan,Собственник,19000,nan
1-к. квартира,42,16,16,nan,nan,р-н Красносельский,Собственник,30000,nan
1-к. апартаменты,41,5,11,Площадь Мужества ,11–15,nan,Собственник,40000,nan
1-к. квартира,32,7,9,Проспект Большевиков ,11–15,nan,Собственник,33000,nan
1-к. квартира,30.9,6,8,nan,nan,р-н Красносельский,Собственник,24000,nan
3-к. квартира,64,4,12,Ладожская ,31,nan,Собственник,30000,nan
Квартира-студия,26.8,1,5,nan,nan,р-н Московский,Собственник,18000,nan
Квартира-студия,32,25,25,Парнас ,16–20,nan,Собственник,25000,nan
1-к. квартира,50,3,22,Комендантский проспект ,31,nan,Собственник,69000,nan
1-к. квартира,47,15,19,Звёздная ,21–30,nan,Собственник,32000,nan
1-к. квартира,35,13,17,Комендантский проспект ,21–30,nan,Собственник,30000,nan
2-к. квартира,60,2,5,Балтийская ,16–20,nan,Собственник,55000,nan
1-к. квартира,30,3,5,nan,nan,Сестрорецк,Собственник,25000,nan
1-к. квартира,40,9,24,Беговая ,21–30,nan,Собственник,30000,nan
2-к. квартира,46,6,9,Площадь Мужества ,21–30,nan,Собственник,29000,nan
3-к. квартира,56.5,8,9,Пионерская ,11–15,nan,Собственник,46000,nan
3-к. квартира,102.1,2,8,Удельная ,6–10,nan,Собственник,90000,nan
1-к. квартира,33,15,15,Елизаровская ,31,nan,Собственник,30000,nan
2-к. квартира,70,1,4,Василеостровская ,6–10,nan,Собственник,50000,nan
1-к. квартира,33,15,15,Елизаровская ,31,nan,Собственник,30000,nan
2-к. квартира,70,1,4,Василеостровская ,6–10,nan,Собственник,50000,nan
1-к. квартира,28.4,5,25,nan,nan,р-н Красногвардейский,Собственник,21000,nan
2-к. квартира,51,1,5,Василеостровская ,16–20,nan,Собственник,35000,nan
1-к. квартира,35.5,3,10,Комендантский проспект ,31,nan,Собственник,26000,nan
2-к. квартира,55,1,10,Рыбацкое ,16–20,nan,Собственник,29000,nan
2-к. апартаменты,54,6,18,Бухарестская ,5,nan,Собственник,75000,nan
1-к. квартира,35.3,2,16,nan,nan,пос. Новогорелово,Собственник,17000,nan
1-к. квартира,50,5,17,nan,nan,Сестрорецк,Собственник,35000,nan
2-к. квартира,76,3,5,Звенигородская ,6–10,nan,Собственник,70000,nan
1-к. квартира,21,1,6,Технологический инт I ,11–15,nan,Собственник,28000,nan
1-к. апартаменты,40,3,6,nan,nan,Сестрорецк,Собственник,40000,nan
2-к. квартира,44.1,3,5,Площадь Мужества ,31,nan,Собственник,24000,nan
Квартира-студия,26,6,19,Комендантский проспект ,31,nan,Собственник,22000,nan
2-к. квартира,42.5,3,3,nan,nan,Павловск,Собственник,25000,nan
1-к. квартира,40,6,7,Комендантский проспект ,16–20,nan,Собственник,27000,nan
1-к. квартира,34,3,10,Комендантский проспект ,6–10,nan,Собственник,43000,nan
1-к. квартира,35,2,3,Василеостровская ,11–15,nan,Собственник,47000,nan
2-к. квартира,87.1,1,4,nan,nan,Пушкин,Собственник,40000,nan
1-к. квартира,34,22,25,Беговая ,21–30,nan,Собственник,32000,nan
1-к. квартира,36,13,14,Проспект Большевиков ,31,nan,Собственник,25000,nan
2-к. квартира,65,3,5,Удельная ,21–30,nan,Собственник,40000,nan
1-к. квартира,35,3,5,nan,nan,пос. Шушары,Собственник,22000,nan
2-к. квартира,55.9,10,13,Лесная ,11–15,nan,Собственник,55000,nan
Квартира-студия,32,25,25,Парнас ,16–20,nan,Собственник,25000,nan
